title,location,price,url,bedrooms,bathrooms,date,builtin_year,occupancy_status,amenities,area_breakdown,available_from,floor_area(sqft),floor_no,listing_date_added,listing_is_verified,ownership_status,price_breakdown,purpose,type,unit_no,zip
Convenient 770 Square Feet Flat Is Ready to Sale In Mohakhali,"Mohakhali Bazar Road, Mohakhali","4,500,000",https://www.bproperty.com/buy/dhaka/mohakhali/convenient-770-square-feet-flat-is-ready-to-sale-i-172527108389/,2,2,02 Aug 2024,2012,Occupied,,,,770,,,,,,,,,
Convenient 770 Square Feet Flat Is Ready to Sale In Mohakhali,"Mohakhali Bazar Road, Mohakhali","4,500,000",https://www.bproperty.com/buy/dhaka/mohakhali/convenient-770-square-feet-flat-is-ready-to-sale-i-172527108389/,2,2,02 Aug 2024,2012,Occupied,,,,770,,,,,,,,,
Budget-Friendly 800 Sq ft Flat For Sale in Dhanmondi,"North Circular Road, Dhanmondi","7,500,000",https://www.bproperty.com/buy/dhaka/dhanmondi/budget-friendly-800-sq-ft-flat-for-sale-in-dhanmon-172819821065/,2,2,October 6 2024,2024,Occupied,"Electricity Backup, Elevators in Building, Freehold, Gas, Electricity, Broadband Internet, Satellite/Cable TV, Gym or Health Club, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Public Transport, Pet Policy",,,800,,,,,,,,,
Budget-Friendly 800 Sq ft Flat For Sale in Dhanmondi,"North Circular Road, Dhanmondi","7,500,000",https://www.bproperty.com/buy/dhaka/dhanmondi/budget-friendly-800-sq-ft-flat-for-sale-in-dhanmon-172819821065/,2,2,October 6 2024,2024,Occupied,"Electricity Backup, Elevators in Building, Freehold, Gas, Electricity, Broadband Internet, Satellite/Cable TV, Gym or Health Club, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Public Transport, Pet Policy",,,800,,,,,,,,,
,,,https://www.bproperty.com/buy/dhaka/mirpur/1-403-sq-ft-family-apartment-for-sale-in-mirpur-172812061991/,,,,,,,,,,,,,,,,,,
,,,https://www.bproperty.com/buy/dhaka/mirpur/1-403-sq-ft-family-apartment-for-sale-in-mirpur-172812061991/,,,,,,,,,,,,,,,,,,
Commodious 1800 Sq.ft Apartment for Sale in Cantonment,"Vashantek, Cantonment","9,500,000",https://www.bproperty.com/buy/dhaka/cantonment/commodious-1800-sq-ft-apartment-for-sale-in-canton-172804199281/,4,4,04-10-2024,2021,Occupied,"Electricity Backup, Elevators in Building, Electricity, Maintenance Staff, Visitor Log, Balcony or Terrace",,,1800,4,,,,,,,4,
Commodious 1800 Sq.ft Apartment for Sale in Cantonment,"Vashantek, Cantonment","9,500,000",https://www.bproperty.com/buy/dhaka/cantonment/commodious-1800-sq-ft-apartment-for-sale-in-canton-172804199281/,4,4,04-10-2024,2021,Occupied,"Electricity Backup, Elevators in Building, Electricity, Maintenance Staff, Visitor Log, Balcony or Terrace",,,1800,4,,,,,,,4,
"Almost complete 1,405 sq ft flat for sale in Mirpur, Shagufta","Shagufta New Road, Mirpur","10,959,000",https://www.bproperty.com/buy/dhaka/mirpur/almost-complete-1-405-sq-ft-flat-for-sale-in-mirpu-172827493317/,3,3,03/10/2024,2026,vacant,"Central Air-Con, Electricity Backup, Flooring, Elevators in Building, Service Elevators, Other Main Features, 24 Hours Concierge, Apartment Facing, Electricity, Floor Level, Prayer Room, Other Rooms, Reception/Waiting Area, Storage Areas, Community Space, Steam Room, Jacuzzi, Maintenance Staff, Cafeteria or Canteen, Shared Kitchen, Facilities for Disabled, Balcony or Terrace, Waste Disposal, Parking Spaces, Other Facilities, First Aid Medical Center, Gym or Health Club, Swimming Pool, Game/Sports Area, Nearby Schools, Nearby Public Transport",,,1405,,,,,,,,,
"Almost complete 1,405 sq ft flat for sale in Mirpur, Shagufta","Shagufta New Road, Mirpur","10,959,000",https://www.bproperty.com/buy/dhaka/mirpur/almost-complete-1-405-sq-ft-flat-for-sale-in-mirpu-172827493317/,3,3,03/10/2024,2026,vacant,"Central Air-Con, Electricity Backup, Flooring, Elevators in Building, Service Elevators, Other Main Features, 24 Hours Concierge, Apartment Facing, Electricity, Floor Level, Prayer Room, Other Rooms, Reception/Waiting Area, Storage Areas, Community Space, Steam Room, Jacuzzi, Maintenance Staff, Cafeteria or Canteen, Shared Kitchen, Facilities for Disabled, Balcony or Terrace, Waste Disposal, Parking Spaces, Other Facilities, First Aid Medical Center, Gym or Health Club, Swimming Pool, Game/Sports Area, Nearby Schools, Nearby Public Transport",,,1405,,,,,,,,,
"Work in progress on a 1,455 sq ft apartment for sale in Mirpur,Shagufta New Road","Shagufta New Road, Mirpur","11,349,000",https://www.bproperty.com/buy/dhaka/mirpur/work-in-progress-on-a-1-455-sq-ft-apartment-for-sa-172827511758/,3,3,03/10/2024,2026,vacant,"Double Glazed Windows, Central Air-Con, Service Elevators, 24 Hours Concierge, Apartment Facing, Gas, Electricity, Floor Level, Prayer Room, Reception/Waiting Area, Storage Areas, Community Space, Conference Room, Intercom, Steam Room, Change of Amenities/Interior, CCTV Security, Fire Exit, Waste Disposal, Other Facilities, Day Care Center, Swimming Pool, Game/Sports Area, Other Facilities, Nearby Schools, Distance From Airport (kms), Nearby Public Transport",,,1455,,,,,,,,,
"Work in progress on a 1,455 sq ft apartment for sale in Mirpur,Shagufta New Road","Shagufta New Road, Mirpur","11,349,000",https://www.bproperty.com/buy/dhaka/mirpur/work-in-progress-on-a-1-455-sq-ft-apartment-for-sa-172827511758/,3,3,03/10/2024,2026,vacant,"Double Glazed Windows, Central Air-Con, Service Elevators, 24 Hours Concierge, Apartment Facing, Gas, Electricity, Floor Level, Prayer Room, Reception/Waiting Area, Storage Areas, Community Space, Conference Room, Intercom, Steam Room, Change of Amenities/Interior, CCTV Security, Fire Exit, Waste Disposal, Other Facilities, Day Care Center, Swimming Pool, Game/Sports Area, Other Facilities, Nearby Schools, Distance From Airport (kms), Nearby Public Transport",,,1455,,,,,,,,,
"Modern 1,265 Sq.ft Apartment is for Sale in Mirpur, Kallyanpur","Kallyanpur, Mirpur","9,400,000",https://www.bproperty.com/buy/dhaka/mirpur/modern-1-265-sq-ft-apartment-is-for-sale-in-mirpur-172795185055/,3,3,03-10-2024,2020,Occupied,"Electricity Backup, Elevators in Building, Gas, Electricity, Maintenance Staff, CCTV Security, Balcony or Terrace, Parking Spaces",,,1265,,,,,,,,,
"Modern 1,265 Sq.ft Apartment is for Sale in Mirpur, Kallyanpur","Kallyanpur, Mirpur","9,400,000",https://www.bproperty.com/buy/dhaka/mirpur/modern-1-265-sq-ft-apartment-is-for-sale-in-mirpur-172795185055/,3,3,03-10-2024,2020,Occupied,"Electricity Backup, Elevators in Building, Gas, Electricity, Maintenance Staff, CCTV Security, Balcony or Terrace, Parking Spaces",,,1265,,,,,,,,,
